"dNSHostName","Name","OperatingSystemVersion","operatingSystem","LastLogon","lastLogonTimestamp","ObjectGUID","ObjectSid","CreatedDate","DistinguishedName","userAccountControl","pwdLastSet","Enabled"
"WS-DC1.wetter.wetterssource.com","WS-DC1","10.0 (20348)","Windows Server 2022 Standard","10/13/2024 7:32:28 PM","10/3/2024 10:12:28 PM","6f5e5cbd-15f0-4226-839a-cc13685ffbf7","S-1-5-21-4209634709-2209119006-3518572860-1000","9/12/2024 11:26:58 PM","CN=WS-DC1,OU=Domain Controllers,DC=wetter,DC=wetterssource,DC=com","532480","10/13/2024 8:09:33 AM","True"
"WS-Win11-1.wetter.wetterssource.com","WS-WIN11-1","10.0 (22631)","Windows 11 Enterprise","10/13/2024 10:52:22 AM","10/3/2024 10:10:57 PM","471e7a62-66fb-4d00-b78d-873d141dfa31","S-1-5-21-4209634709-2209119006-3518572860-1106","9/13/2024 12:23:31 AM","CN=WS-WIN11-1,OU=Workstations,OU=Wetter-Org,DC=wetter,DC=wetterssource,DC=com","4096","9/13/2024 12:23:31 AM","True"
"WS-CM1.wetter.wetterssource.com","WS-CM1","10.0 (17763)","Windows Server 2019 Standard","10/14/2024 12:00:31 AM","10/5/2024 12:05:50 AM","543cdd8c-0e33-45d9-a65e-8effe3fb2f74","S-1-5-21-4209634709-2209119006-3518572860-1110","9/14/2024 10:38:04 PM","CN=WS-CM1,OU=CM-Servers,OU=Wetter-Org,DC=wetter,DC=wetterssource,DC=com","4096","9/14/2024 10:38:04 PM","True"
"WS-MBAM.wetter.wetterssource.com","WS-MBAM","10.0 (17763)","Windows Server 2019 Standard","10/14/2024 12:00:21 AM","10/8/2024 10:33:45 PM","6f8274ea-3c17-44ab-94b3-0947de6bb6eb","S-1-5-21-4209634709-2209119006-3518572860-1115","9/18/2024 10:01:50 PM","CN=WS-MBAM,OU=Servers,OU=Wetter-Org,DC=wetter,DC=wetterssource,DC=com","4096","9/18/2024 10:01:50 PM","True"
"WS-Win11-2.wetter.wetterssource.com","WS-WIN11-2","10.0 (22631)","Windows 11 Enterprise","10/13/2024 5:31:44 AM","10/3/2024 10:11:20 PM","2b8235ea-7938-4769-ad36-bb08618b2f8c","S-1-5-21-4209634709-2209119006-3518572860-1125","9/23/2024 1:47:53 AM","CN=WS-WIN11-2,OU=Workstations,OU=Wetter-Org,DC=wetter,DC=wetterssource,DC=com","4096","9/23/2024 1:47:53 AM","True"
"WS-Win11-3.wetter.wetterssource.com","WS-WIN11-3","10.0 (22631)","Windows 11 Enterprise","10/13/2024 5:31:48 AM","10/3/2024 10:10:48 PM","d4c6c42b-1e5e-4e11-aafe-58ea2945b0cb","S-1-5-21-4209634709-2209119006-3518572860-1126","9/23/2024 1:48:42 AM","CN=WS-WIN11-3,OU=Workstations,OU=Wetter-Org,DC=wetter,DC=wetterssource,DC=com","4096","9/23/2024 1:48:42 AM","True"
"WS-Win11-4.wetter.wetterssource.com","WS-WIN11-4","10.0 (22631)","Windows 11 Enterprise","10/14/2024 12:31:19 AM","10/13/2024 10:15:18 PM","1d7f1f5b-5ee3-47a8-9c4c-3952b6eb207c","S-1-5-21-4209634709-2209119006-3518572860-1127","9/23/2024 1:50:25 AM","CN=WS-WIN11-4,OU=MBAM,OU=Workstations,OU=Wetter-Org,DC=wetter,DC=wetterssource,DC=com","4096","9/23/2024 1:50:25 AM","True"
"WS-Win11-6.wetter.wetterssource.com","WS-WIN11-6","10.0 (22000)","Windows 11 Enterprise","10/14/2024 12:38:01 AM","10/5/2024 12:33:03 AM","ecf23106-3c9e-4649-a632-57ac1c6d9c60","S-1-5-21-4209634709-2209119006-3518572860-1138","10/5/2024 12:32:33 AM","CN=WS-WIN11-6,OU=Workstations,OU=Wetter-Org,DC=wetter,DC=wetterssource,DC=com","4096","10/5/2024 12:32:33 AM","True"
"WS-Win11-5.wetter.wetterssource.com","WS-WIN11-5","10.0 (22000)","Windows 11 Enterprise","10/13/2024 5:31:48 AM","10/5/2024 12:34:10 AM","15dc42b8-0f9c-4385-bd4e-7573a916fdec","S-1-5-21-4209634709-2209119006-3518572860-1139","10/5/2024 12:33:49 AM","CN=WS-WIN11-5,OU=Workstations,OU=Wetter-Org,DC=wetter,DC=wetterssource,DC=com","4096","10/5/2024 12:33:49 AM","True"
"WS-SQL1.wetter.wetterssource.com","WS-SQL1","10.0 (20348)","Windows Server 2022 Standard","10/13/2024 7:12:58 AM","10/5/2024 1:30:14 AM","6c8384ee-4e49-41f6-85bd-7a62fd5542d8","S-1-5-21-4209634709-2209119006-3518572860-1144","10/5/2024 1:30:14 AM","CN=WS-SQL1,OU=Servers,OU=Wetter-Org,DC=wetter,DC=wetterssource,DC=com","4096","10/5/2024 1:30:14 AM","True"
